Date,Algoritmo Genético,Markowitz,IBOV
2022-12-13,0.59444044848348,0.8169148014874261,-0.0980814306797454
2022-12-14,0.5825950708338004,0.801272998358534,-0.09885406719333167
2022-12-15,0.5836821660874336,0.8006778400678443,-0.09941835228752394
2022-12-16,0.5857592138449814,0.8067029476397609,-0.10734438753363906
2022-12-19,0.5990529162220157,0.816448621769867,-0.09254275544752033
2022-12-20,0.6303797381743583,0.8591164878989113,-0.07128222936018636
2022-12-21,0.6370781897794038,0.8689785616683814,-0.06838267210695248
2022-12-22,0.6498411939751705,0.8835858286402198,-0.06834794687038681
2022-12-23,0.6774971424818768,0.9220028173923374,-0.04767774980466932
2022-12-26,0.664374638184932,0.9105505529335636,-0.056011806580431145
2022-12-27,0.6659393537977012,0.9112082465810105,-0.059406198454725834
2022-12-28,0.6972862365173043,0.94789008889019,-0.042998524177444875
2022-12-29,0.6951852935600562,0.945963526183067,-0.044786873860577114
2023-01-02,0.647828610143615,0.8905693006910314,-0.07651705877246184
2023-01-03,0.6242458604310182,0.8667628624697852,-0.09570275197499678
2023-01-04,0.6450916377280107,0.8965876111549962,-0.08556298289782005
2023-01-05,0.674598822190299,0.9251585211085906,-0.06660300373296202
2023-01-06,0.6731573757522169,0.9157018127942989,-0.05516103828457242
2023-01-09,0.6967773015822036,0.9488729920352028,-0.05176664641027773
2023-01-10,0.7077788045856548,0.9640717106801278,-0.03713864050698745
2023-01-11,0.7441616019587054,1.018005948955922,-0.029750846427640365
2023-01-12,0.7460826815192299,1.0217503955693,-0.028761177185518738
2023-01-13,0.7332761967292001,1.0078095488732557,-0.037103915270421894
2023-01-16,0.7292285001211798,1.0126360733876325,-0.051888184738257626
2023-01-17,0.7705872506266036,1.0636761888334996,-0.03256359058946001
2023-01-18,0.7660535234306389,1.055727991886029,-0.023769424429203045
2023-01-19,0.788443792889187,1.0878493227166075,-0.018959979164857144
2023-01-20,0.7765332260128266,1.0795755915498169,-0.02508030210955725
2023-01-23,0.7854207652943146,1.0946611516347002,-0.030219637121277065
2023-01-24,0.8021738174774484,1.1172446371987466,-0.01876899036374602
2023-01-25,0.8178570267834404,1.1358233214340276,-0.008637902595710623
2023-01-26,0.7955766659221564,1.1053898384120222,-0.009384495181872565
2023-01-27,0.7661246276653464,1.0659684410604378,-0.023335358972132236
2023-01-30,0.762589870304099,1.059990852091118,-0.028665682784963287
2023-01-31,0.7715139962906101,1.074185886861473,-0.014393610556471259
2023-02-01,0.7566198461805043,1.054737320617837,-0.025062939491274583
2023-02-02,0.7291167284362405,1.026547906450089,-0.04562027953815373
2023-02-03,0.7231021382882927,1.0202274320608788,-0.05816477124750352
2023-02-06,0.7347293191363911,1.0438927694442812,-0.058459935758311765
2023-02-07,0.7302705130930875,1.0449909814909084,-0.0631131174581121
2023-02-08,0.7471035945952926,1.0565048756335091,-0.046080388922648874
2023-02-09,0.7238956627294839,1.0261451846937435,-0.06430245681048641
2023-02-10,0.744118893937018,1.0486963754393948,-0.061116416355585734
2023-02-13,0.7521930888441815,1.052704287479794,-0.05507422519315841
2023-02-14,0.7456287236830734,1.0481408297226884,-0.06537893914402215
2023-02-15,0.7637926275255096,1.06291309465899,-0.04990016494487293
2023-02-16,0.7515654303985044,1.0470144436604896,-0.04588071881239608
2023-02-17,0.7405740535945049,1.0356735126478398,-0.051106866915530014
2023-02-22,0.696575089056114,0.9815108857394734,-0.06978036287872125
2023-02-23,0.72303686268323,1.0118586310063318,-0.06484937928639556
2023-02-24,0.7086481149009494,0.9984240307917902,-0.0808837572705956
2023-02-27,0.7113591935255272,1.0046007046555108,-0.08229012935150548
2023-02-28,0.697197509679502,0.9806414240434389,-0.08905286917267052
2023-03-01,0.6946164780646162,0.9882867009125536,-0.09380154527302642
2023-03-02,0.6927250331260455,0.992910150894611,-0.10299505165378864
2023-03-03,0.7251939044147528,1.037307082248963,-0.09830714471742263
2023-03-06,0.7439093321285384,1.0570193584026244,-0.09106693289347956
2023-03-07,0.7297997891468939,1.039339628473185,-0.09516451080822907
2023-03-08,0.7523359989081126,1.0625017229852234,-0.07509332407326941
2023-03-09,0.727506673140502,1.0303865207703589,-0.08784616720201321
2023-03-10,0.7274821385750718,1.051632995720425,-0.10046010938449434
2023-03-13,0.7012601262149349,1.0162112151633318,-0.10477472002777932
2023-03-14,0.7145987182308382,1.041668480191646,-0.10641548745550744
2023-03-15,0.7073419441624464,1.0290762662732296,-0.10864658390485205
2023-03-16,0.7242467403017252,1.0520165165088642,-0.1020487889573739
2023-03-17,0.7166981534036323,1.0508362204342347,-0.11466273113985503
2023-03-20,0.680906115977959,1.008200705210788,-0.12385623752061725
2023-03-21,0.6977836798825374,1.0334078878040662,-0.12320513933501087
2023-03-22,0.6834143554461498,1.0167976129719025,-0.12995051653789302
2023-03-23,0.6646183241110011,1.0037988709164467,-0.14987412101744857
2023-03-24,0.6730773339630967,1.0080699258345498,-0.14203489886274767
2023-03-27,0.6932317713398435,1.0363832233950965,-0.1347339178748148
2023-03-28,0.7091610226648222,1.0567689912482,-0.12158173452556564
2023-03-29,0.7260895235092379,1.083099617009704,-0.11630349856758315
2023-03-30,0.7443925832376863,1.1014694610339668,-0.09963538501605962
2023-03-31,0.7178969381319324,1.0726211371608634,-0.11553086205399687
2023-04-03,0.7331775957067805,1.1009967032988457,-0.11879503429117033
2023-04-04,0.7456149926434223,1.1134578548461866,-0.11564371907283533
2023-04-05,0.7186945701556768,1.07524012475354,-0.12337876551783922
2023-04-06,0.7150848283846944,1.0712148249337576,-0.12473304974390054
2023-04-10,0.7394026456549123,1.1035324335414534,-0.11583470787394656
2023-04-11,0.790490659194736,1.166968982631904,-0.07792343085337183
2023-04-12,0.8000014986947137,1.1740243814643927,-0.07205486587377286
2023-04-13,0.7939139952656993,1.1721499532257011,-0.07580519142286557
2023-04-14,0.7957808417802446,1.180453728545606,-0.07735914575917946
2023-04-17,0.8006398575905116,1.187329164136758,-0.07964233006337262
2023-04-18,0.8133594762354588,1.2053876024207222,-0.07836617761958409
2023-04-19,0.7886361179095811,1.1783763330358865,-0.09789912318777583
2023-04-20,0.7879899271272386,1.1697861431251577,-0.09395780883757177
2023-04-24,0.7936862571636132,1.182648033606681,-0.09760395867696747
2023-04-25,0.7778429731596881,1.1611130931929217,-0.10391527042277882
2023-04-26,0.755398761863195,1.1327554995105178,-0.11179789912318683
2023-04-27,0.7434786213008369,1.1094467819473062,-0.10649361923778011
2023-04-28,0.780753519101443,1.1505965952714807,-0.0933935237433795
2023-05-02,0.7446537062612457,1.102046591545046,-0.11514020314263296
2023-05-03,0.7338867986939837,1.0856398710594406,-0.11626877333101737
2023-05-04,0.7120067153252998,1.0312399623940118,-0.11299591978470258
2023-05-05,0.7391800802270225,1.0469280849489149,-0.08717770639812372
2023-05-08,0.7401610580044415,1.0471982342351605,-0.07941661602569561
2023-05-09,0.7486158676584485,1.058340171695908,-0.07011025262609483
2023-05-10,0.7571408365510461,1.0738062347958137,-0.06721069537286106
2023-05-11,0.7786704549792018,1.104208200167279,-0.06019619758659489
2023-05-12,0.7893046120431269,1.1248960422922152,-0.05839048528517998
2023-05-15,0.7876732714830428,1.1211753463830365,-0.05348554562027852
2023-05-16,0.7968959000505706,1.135550278571122,-0.06073443875336293
2023-05-17,0.8045170688780843,1.146121446546402,-0.04974390138032714
2023-05-18,0.813505358774145,1.1507664988855617,-0.044118413056688066
2023-05-19,0.8304351629445994,1.1684075942946048,-0.038588419133604446
2023-05-22,0.8204458407460655,1.1548915719137574,-0.04320687559683911
2023-05-23,0.8225262142339407,1.1529565150867662,-0.045672367393001956
2023-05-24,0.8025803970948284,1.1329323559070659,-0.05547356541366344
2023-05-25,0.8190634650750572,1.1589942072671615,-0.044587203750324655
2023-05-26,0.8376952247066634,1.1835752780416553,-0.03719072836183612
2023-05-29,0.8357179057493167,1.1874321238727634,-0.042165118499868925
2023-05-30,0.8237376832748413,1.174773815207605,-0.05402378678704667
2023-05-31,0.8208817671940059,1.1715845861865057,-0.059510374164423174
2023-06-01,0.8380092522332647,1.1992566255821324,-0.04015105477905989
2023-06-02,0.8634268440429593,1.2259047194865307,-0.022849205660212868
2023-06-05,0.8671995251945035,1.2290525020648184,-0.021651184998697115
2023-06-06,0.8958071903063907,1.2600610977007514,-0.00503515930202203
2023-06-07,0.9062437966889105,1.2731308312079923,0.002587030124143519
2023-06-09,0.9418682155508005,1.324100238942365,0.015878114419655365
2023-06-12,0.9572341437956282,1.3390359956929836,0.018630089417484896
2023-06-13,0.9674101371082542,1.3554710791956,0.013482073096623637
2023-06-14,1.0016483148424564,1.4082063096877282,0.03367479815956309
2023-06-15,1.0061883658875561,1.4068218201160954,0.03499435714905874
2023-06-16,0.9925739367250976,1.3859767205971352,0.030974911016582007
2023-06-19,1.0168638231129896,1.4185663507416244,0.04052435107214225
2023-06-20,1.0168660724195342,1.407330072227774,0.038475562114767436
2023-06-21,1.0150399576800764,1.398086031094734,0.04540324680961949
2023-06-22,0.9795912472578099,1.3475591430515501,0.03250282142547167
2023-06-23,0.9695806343252027,1.3322509326540741,0.03287611771855259
2023-06-26,0.954570552441212,1.3147093515862185,0.026504036808751463
2023-06-27,0.9562097816328305,1.3223510828023568,0.020253494226930124
2023-06-28,0.9600253231947777,1.344240491518638,0.012943831929855598
2023-06-29,0.9940590241454197,1.3847265421377424,0.027719420088549995
2023-06-30,0.9865644314308566,1.369298791934964,0.025149752582690033
2023-07-03,0.998805353618972,1.379614223797328,0.03891830888097991
2023-07-04,0.996825000417511,1.3761164446538956,0.033735567323553095
2023-07-05,1.0184635777583924,1.4060890934597015,0.03784182654744406
2023-07-06,0.9895528050965323,1.3735091564019726,0.019411407240212508
2023-07-07,0.9957640087014252,1.3703846389937087,0.03219029429638054
2023-07-10,0.9858966065873789,1.3627841602589412,0.023890962757184386
2023-07-11,0.9756664160720128,1.3518710332495614,0.017623057557080157
2023-07-12,0.9962460066999319,1.3687248432560457,0.02149492143415288
2023-07-13,1.0286140925243434,1.4106685456157697,0.03536765344213966
2023-07-14,0.9924914043416808,1.3582758496929275,0.021885580345516686
2023-07-17,0.9934018979501049,1.3590542744966698,0.026295685389357226
2023-07-18,0.9808342550089748,1.3421167591101555,0.02301415053390099
